Title,Brand,RAM,HDD,CPU Model,Screen Size,Graphics,Rating,Price
"HP Pavilion 35.6 cm (14) Laptop 14-dv2015TU, Silver",HP,16 GB,1 TB,i7,14,Intel,4.0,"₹76,999"
"HP Pavilion Plus 35.6 cm (14) Laptop 14-ew0116TU, Silver",HP,16 GB,512 GB,i5,14,Intel,4.5,"₹72,999"
"HP Pavilion 35.6 cm (14) Laptop 14-dv2014TU, Silver",HP,16 GB,512 GB,i5,14,Intel,4.0,"₹61,999"
"HP Laptop 39.6 cm (15.6) 15s-fq5326TU, Silver",HP,8 GB,512 GB,i3,15.6,Intel,4.2,"₹40,326"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1010TU, Silver",HP,16 GB,1 TB,i5,14,Intel,4.5,"₹81,999"
"HP Pavilion Plus 35.6 cm (14) Laptop 14-ew0153TU, Silver",HP,16 GB,1 TB,i7,14,Intel,4.5,"₹94,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1009TU, Gold",HP,16 GB,1 TB,i5,14,Intel,4.5,"₹81,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1021TU, Silver",HP,16 GB,512 GB,i7,14,Intel,4.5,"₹91,999"
"HP Pavilion 39.6 cm (15.6) Laptop 15-eg3036TU, Silver",HP,16 GB,1 TB,i7,15.6,Intel,4.4,"₹89,999"
"HP Pavilion 35.6 cm (14) Laptop 14-dv2041TU, Silver",HP,16 GB,512 GB,i5,14,Intel,4.0,"₹63,499"
"HP Pavilion Plus 35.6 cm (14) Laptop 14-ey0789AU, Silver",HP,16 GB,NA,Ryzen™ 7,NA,AMD,4.2,"₹79,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1020TU, Gold",HP,16 GB,512 GB,i7,14,Intel,4.5,"₹91,999"
"HP Laptop 39.6 cm (15.6) 15s-eq2304AU, Silver",HP,8 GB,512 GB,Ryzen™ 5,15.6,AMD,4.2,"₹42,729"
"HP Pavilion 39.6 cm (15.6) Laptop 15-eg3027TU, Silver",HP,16 GB,512 GB,i5,15.6,Intel,4.4,"₹71,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fb0147AX, Blue",HP,8 GB,512 GB,Ryzen™ 5,15.6,AMD,4.3,"₹50,649"
"HP Pavilion 40.6 cm (16) Laptop 16-af0015TU, Silver",HP,16 GB,512 GB,Ultra 5,16,Intel,4.4,"₹80,999"
"HP Pavilion Plus 35.6 cm (14) Laptop 14-ew1082TU, Blue",HP,16 GB,512 GB,Ultra 5,14,Intel,4.9,"₹87,999"
HP Pavilion Laptop 16-ag0019AU,HP,16 GB,NA,Ryzen™ 5,NA,AMD,4.4,"₹69,999"
"HP Pavilion Plus 40.6 cm (16) Laptop 16-ab0456TX, Silver",HP,6GB,16 GB,i7,16,Nvidia,3.9,"₹118,999"
"HP Pavilion 39.6 cm (15.6) Laptop 15-eh3039AU, Silver",HP,16 GB,512 GB,Ryzen™ 5,15.6,AMD,4.5,"₹59,999"
"HP Pavilion Plus Laptop 35.6 cm (14) 14-ew0114TU, Silver",HP,16 GB,512 GB,i5,14,Intel,5.0,"₹72,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1074TU, Silver",HP,16 GB,512 GB,i5,14,Intel,4.5,"₹79,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek2033TU, Silver",HP,8 GB,512 GB,Core™ 3,14,Intel,0.0,"₹66,999"
"HP Pavilion 40.6 cm (16) Laptop 16-af0028TU, Silver",HP,16 GB,512 GB,Ultra 7,16,Intel,4.4,"₹93,999"
