Title,Brand,RAM,HDD,CPU Model,Screen Size,Graphics,Rating,Price
HP ProBook 445 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,Ryzen™ 5,14,AMD,4.6,"₹62,999"
HP 240 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i7,14,Intel,4.2,"₹64,999"
HP ProBook 440 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i7,14,Intel,0.0,"₹80,999"
HP ProBook 445 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,Ryzen™ 5,14,AMD,4.6,"₹82,999"
HP ProBook 440 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,i5,14,Intel,4.4,"₹85,999"
"HP ProBook 440  35.6 cm (14) G9 Business Laptop, Silver",HP,16 GB,1 TB,i5,14,Intel,4.4,"₹91,999"
"HP Pro x360 435 33.8 cm (13.3) G10 2-in-1 Business Laptop, Silver",HP,16 GB,1 TB,Ryzen™ 5,13.3,AMD,3.0,"₹107,999"
"HP Envy x360 39.6 cm (15.6) 2-in-1 Laptop 15-fe0011TX, Black",HP,4GB,16 GB,i7,15.6,Nvidia,4.4,"₹127,999"
HP ProBook 445 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,Ryzen™ 5,14,AMD,4.6,"₹82,999"
HP Pavilion Laptop 39.6 cm (15.6) 15-eg3032TU - Silver,HP,16 GB,512 GB,i7,15.6,Intel,4.4,"₹84,999"
HP ProBook 440 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,i5,14,Intel,4.4,"₹85,999"
"HP ProBook 440  35.6 cm (14) G9 Business Laptop, Silver",HP,16 GB,1 TB,i5,14,Intel,4.4,"₹91,999"
"HP Pro x360 435 33.8 cm (13.3) G10 2-in-1 Business Laptop, Silver",HP,16 GB,1 TB,Ryzen™ 5,13.3,AMD,3.0,"₹107,999"
"HP Envy x360 39.6 cm (15.6) 2-in-1 Laptop 15-fe0011TX, Black",HP,4GB,16 GB,i7,15.6,Nvidia,4.4,"₹127,999"
HP Dragonfly 34.3 cm (13.5) G4 Business Laptop PC,HP,32 GB,NA,i7,13.5,Intel,4.6,"₹232,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,8GB,32 GB,Ryzen™ 7,16.1,Nvidia,4.5,"₹163,999"
HP OmniBook Ultra Flip Laptop 14-fh0046TU,HP,32GB,1 TB,Ultra 7,14,Intel,0.0,"₹189,999"
"HP Victus 40.9 cm (16.1) Gaming Laptop 16, Blue",HP,8GB,16 GB,Ryzen™ 7,16.1,Nvidia,4.5,"₹145,999"
HP OmniBook Ultra Flip Laptop 14-fh0026TU,HP,16GB,1 TB,Ultra 7,14,Intel,0.0,"₹179,999"
HP OmniBook Ultra Flip Laptop 14-fh0029TU,HP,32GB,1 TB,Ultra 7,14,Intel,0.0,"₹189,999"
"HP Spectre x360 35.6 cm (14) 2-in-1 Laptop OLED 14-eu0666TU, Black",HP,32 GB,1 TB,Ultra 7,14,Intel,4.1,"₹170,499"
"HP Laptop 39.6 cm (15.6) 15s-fq3066TU, Black",HP,8 GB,512 GB,Celeron,15.6,Intel,3.7,"₹30,949"
"HP Laptop 39.6 cm (15.6) 15s-eq2084AU, Silver",HP,16 GB,512 GB,Ryzen™ 7,15.6,AMD,4.2,"₹58,359"
"HP Laptop 39.6 cm (15.6) 15s-eq2305AU, Silver",HP,16 GB,512 GB,Ryzen™ 5,15.6,AMD,4.2,"₹45,924"
"HP Pavilion 39.6 cm (15.6) Laptop 15-eh1147AU, Silver",HP,16 GB,1 TB,Ryzen™ 7,NA,AMD,4.2,"₹62,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek0183TU, Silver",HP,8 GB,512 GB,i3,14,Intel,4.0,"₹58,999"
"HP Pavilion 39.6 cm (15.6) Laptop 15-eg3018TU, Silver",HP,16 GB,8 GB,i5,15.6,Intel,4.4,"₹76,999"
HP ProBook 440 35.6 cm (14) G11 Business Laptop PC,HP,16 GB,1 TB,Ultra 7,14,Intel,4.1,"₹107,999"
HP ProBook 440 35.6 cm (14) G11 Business Laptop PC,HP,16 GB,512 GB,Ultra 5,14,Intel,4.1,"₹90,999"
HP Elite x360 830 33.8 cm (13) G10 2-in-1 Business Laptop PC,HP,32 GB,NA,i7,13.3,Intel,4.4,"₹134,999"
HP EliteBook 840 35.6 cm (14) G10 Business Laptop PC,HP,16 GB,NA,i7,14,Intel,4.4,"₹117,999"
HP EliteBook 840 35.6 cm (14) G10 Business Laptop PC,HP,32 GB,NA,i7,14,Intel,4.4,"₹123,999"
HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC,HP,32 GB,32 GB,Ultra 7,14,Intel,0.0,"₹148,999"
"HP Elite x360 1040 35.6 cm (14) G10 2-in-1 Business Laptop, Silver",HP,32 GB,1 TB,i7,14,Intel,4.6,"₹143,999"
"HP EliteBook 840 35.6 cm (14) G10 Business Laptop, Silver",HP,32 GB,1 TB,i7,14,Intel,4.4,"₹147,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 9,16,Nvidia,0.0,"₹263,999"
HP ZBook Firefly 40.6 cm (16) G10 Mobile Workstation PC,HP,16 GB,512 GB,i5,16,Nvidia,4.5,"₹131,999"
"HP ZBook Firefly 40.6 cm (16) G10 Mobile Workstation PC, Silver",HP,16 GB,1 TB,i7,16,Intel,4.2,"₹148,999"
HP ZBook Power 39.6 cm (15.6) G10 Mobile Workstation PC,HP,16 GB,1 TB,i7,15.6,Nvidia,4.9,"₹173,499"
"HP ZBook Power 39.6 cm (15.6) G10 A Mobile Workstation PC, Silver",HP,32 GB,1 TB,Ryzen™ 7,15.6,Nvidia,0.0,"₹179,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,16 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹215,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹255,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,64 GB,1 TB,Ultra 9,16,Nvidia,0.0,"₹289,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,64 GB,1 TB,Ultra 9,16,Nvidia,0.0,"₹299,999"
"HP ZBook Fury 40.6 cm (16) G10 Mobile Workstation PC, Silver",HP,12 GB,32 GB,i7,NA,Nvidia,0.0,"₹379,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1227TX, Blue",HP,4GB,16 GB,i5,15.6,Nvidia,4.3,"₹61,899"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1307TX, Silver",HP,4GB,16 GB,i5,15.6,Nvidia,4.3,"₹70,499"
"HP ProBook 445 35.6 cm (14) G9 Business Laptop, Silver",HP,8 GB,512 GB,Ryzen™ 5,NA,AMD,4.6,"₹59,999"
"HP 250 39.6 cm (15.6) G9 Business Laptop, Silver",HP,16 GB,512 GB,i5,15.6,Intel,4.5,"₹60,999"
"HP Victus 39.6 cm (15.6)  Gaming Laptop 15-fb0106AX, Blue",HP,16 GB,512 GB,Ryzen™ 5,15.6,Nvidia,4.3,"₹63,048"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa0555TX, Blue",HP,16 GB,512 GB,i5,15.6,Nvidia,4.2,"₹72,649"
HP 245 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,Ryzen™ 5,15.6,AMD,0.0,"₹38,999"
HP 255 39.6 cm (15.6) G9 Business Laptop PC,HP,8 GB,NA,Ryzen™ 5,15.6,AMD,4.4,"₹39,499"
"HP Chromebook 35.6 cm (14) Laptop 14a-na1004TU, Silver",HP,4 GB,64 GB,Celeron,14,Intel,4.0,"₹26,999"
HP ProBook 440 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i5,14,Intel,4.3,"₹64,999"
HP ProBook 450 39.6 cm (15.6) G9 Business Laptop PC,HP,8 GB,NA,i5,15.6,Intel,0.0,"₹65,499"
"HP Spectre x360 40.6 cm (16) 2-in-1 Laptop OLED 16-f2005TX, Blue",HP,32 GB,1 TB,i7,16,Intel,4.4,"₹195,999"
"HP 255 39.6 cm (15.6) G9 Business Laptop, Black",HP,8 GB,512 GB,Ryzen™ 3,15.6,AMD,4.4,"₹38,699"
HP 245 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,Ryzen™ 5,14,AMD,3.0,"₹38,999"
"HP 245 35.6 cm (14) G9 Business Laptop, Silver",HP,8 GB,512 GB,Ryzen™ 3,14,AMD,3.0,"₹39,999"
"HP 250 39.6 cm (15.6) G9 Business Laptop, Silver",HP,8 GB,512 GB,i3,15.6,Intel,4.6,"₹42,999"
"HP 255 39.6 cm (15.6) G8 Business Laptop, Silver",HP,8 GB,256 GB,Ryzen™ 5,15.6,AMD,4.5,"₹44,500"
HP 250 39.6 cm (15.6) G9 Business Laptop PC,HP,8 GB,NA,i5,15.6,Intel,4.6,"₹53,999"
HP 240 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i7,14,Intel,0.0,"₹57,999"
"HP 240 35.6 cm (14) G9 Business Laptop, Silver",HP,8 GB,512 GB,i3,14,Intel,4.2,"₹58,999"
"HP 240 35.6 cm (14) G9 Business Laptop, Silver",HP,8 GB,512 GB,i5,14,Intel,4.2,"₹64,099"
"HP ProBook 440 35.6 cm (14)  G9 Business Laptop, Silver",HP,8 GB,512 GB,i5,14,Intel,4.3,"₹64,999"
HP ProBook 440 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i5,14,Intel,0.0,"₹65,999"
