,Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Color,Graphics,Disk_size,Card_desc,Price
1393,"dell precision 7770 mobile workstation - 17.3"" fhd ag display - 4.8 ghz intel core i7-12850hx 16-core - 512gb ssd - 32gb - nv rtx a3000 (12gb gddr6) - windows 11 pro",Dell,17.3,i7,32.0,windows 11,0.0,other,Nvidia,512,Integrated,229518.0
1394,"dell gaming g15 5510, 15.6 inch rtx 3060 gaming laptop full hd - intel core i7-10870h, nvidia geforce rtx 3060 6gb gddr6, windows 10 home - grey (latest model) (32gb ram | 512gb ssd)",Dell,15.6,i7,32.0,windows 10,0.0,other,Nvidia,512,Dedicated,135300.0
1395,"asus zenbook pro duo ux581 15.6” 4k uhd nanoedge bezel touch, intel core i7-9750h, 16gb ram, 1tb pcie ssd, geforce rtx 2060, innovative screenpad plus, windows 10 pro - ux581gv-xb74t, celestial blue",ASUS,15.6,i7,16.0,windows 10,4.3,black,Nvidia,1024,Dedicated,205000.0
1396,"dell 2021 inspiron 15.6"" fhd touchscreen laptop, amd ryzen 5-3450u, 8gb ram memory, 256gb pcie ssd, amd radeon vega 8 graphics, webcam, bluetooth, wi-fi, hdmi, windows 10 in s mode",Dell,15.6,ryzen5,8.0,windows 10,4.5,black,AMD,256,Integrated,22878.0
1397,asus 2022 rog strix scar g533 gaming laptop 15.6” 300hz fhd display 12th intel i9-12900h 14-core 32gb ddr5 1tb ssd nvidia geforce rtx 3060 6gb wifi 6e thunderbolt rgb backlit rj45 win 11 w/ratzk usb,ASUS,15.6,i9,32.0,windows 11,0.0,black,Nvidia,1024,Dedicated,163098.0
1398,"asus vivobook pro 16x oled 16"" 4k uhd 16:10 display slim laptop intel core i7-11370h nvidia geforce rtx 3050 backlit kb 100% dci-p3 pantone win11 pro w/hdmi (16gb ram | 1tb ssd)",ASUS,16.0,i7,16.0,windows 11,0.0,other,Nvidia,1024,Dedicated,102007.18000000001
1399,asus zenbook 2-in-1 15.6” touch 360° flip slim laptop | amd ryzen 7 5700u(beat i7-1180g7) | nvidia geforce mx450 | backlit kb | windows 11 | harman/kardon | w/mouse pad (8gb ram | 256gb ssd),ASUS,15.6,ryzen7,8.0,windows 11,0.0,other,Nvidia,256,Dedicated,52971.18
1400,"asus vivobook laptop (2022 newest model), 15.6"" fhd touch-screen, intel core i3-1115g4 processor up to 4.1 ghz, 20gb ram, 512gb nvme pcie ssd, fingerprint reader, windows 10",ASUS,15.6,i3,20.0,windows 11,4.1,other,Intel,512,Integrated,40918.0
1401,"asus zenbook 2 in 1 15.6” fhd touchscreen laptop, amd ryzen 7 5700u, nvidia geforce graphics, 8gb ddr4 ram, 256gb ssd, windows 11 home, twe pen, light grey - q508ug",ASUS,15.6,ryzen7,8.0,windows 11,3.6,silver,Nvidia,256,Dedicated,51331.18
1402,"asus 15.6"" rog strix g15 laptop - amd ryzen 7 4800h - geforce rtx 3060 – win 11 home-with hdmi cable (32gb ram | 1tb pcie ssd)",ASUS,15.6,ryzen7,32.0,windows 11,5.0,other,Nvidia,1024,Dedicated,113151.8
1403,"asus vivobook s 15 slim laptop, 15.6 inch fhd display, amd ryzen 5 5600h cpu, amd radeon graphics, 8gb ram, 512gb ssd, windows 11 home, fingerprint reader, indie black, s3502qa-ds51",ASUS,15.6,ryzen5,8.0,windows 11,5.0,black,AMD,512,other,60269.18
1404,"asus zenbook 14x oled laptop, 14” 2.8k 16:10 display, intel core i7-12700h cpu, intel iris xe graphics, 16gb ram, 1tb ssd, windows 11 home, wi-fi 6e, pine grey, ux5401za-ps74",ASUS,14.0,i7,16.0,windows 11,4.1,other,Intel,1024,other,67978.0
1405,"asus tuf dash 15 (2022) gaming laptop, 15.6” 144hz fhd display, intel core i7-12650h, geforce rtx 3050 ti, 16gb ddr5, 512gb ssd, thunderbolt 4, windows 11 home, off black, fx517ze-es73",ASUS,15.6,i7,16.0,windows 11,4.6,black,Intel,512,other,90118.0
1406,"asus rog zephyrus g14 14"" vr ready fhd gaming laptop,8cores amd ryzen 7 4800hs, nvidia geforce gtx1650,16gb ram,1tb pcie ssd, backlight, wi-fi 6,usb type c,hdmi,win10, with accessories",ASUS,14.0,i7,16.0,windows 10,3.9,black,Nvidia,1024,Dedicated,80359.18000000001
1407,"dell latitude 5420 laptop - 14"" fhd ips display - 2.6 ghz intel core i5 1145g7 4-core (11th gen) - 8gb - 256gb ssd - win10 pro",Dell,14.0,i5,16.0,windows 11,0.0,other,Intel,512,Integrated,48305.380000000005
1408,"2022 asus tuf gaming a15 laptop, 15.6'' fhd 144hz, amd 8-core ryzen 7 6800h (beat i9-11900h), geforce rtx 3050ti, 16gb ddr5, 1tb pcie ssd, hdmi, rj45, wifi 6, rgb, sps hdmi 2.1 cable, win 11 gray",ASUS,15.6,ryzen7,16.0,windows 11,4.5,gray,Nvidia,1024,Dedicated,73799.18000000001
1409,"rog zephyrus m thin and portable gaming laptop, 15.6” 240hz fhd ips, nvidia geforce rtx 2070, intel core i7-9750h, 16gb ddr4 ram, 1tb pcie ssd, per-key rgb, windows 10 home, gu502gw-ah76",ASUS,15.6,i7,16.0,windows 10,4.2,black,Nvidia,1024,Dedicated,178678.0
1410,"dell inspiron 14 5400 2 in 1 - 14 inch fhd touchscreen, intel core i7, 12gb memory, 512gb solid state drive, windows 10 home (latest model)- titan grey",Dell,14.0,i7,12.0,windows 10,4.5,other,Intel,512,Integrated,61418.0
