Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_Size,Price
msi,13.4,i5,16.0,4.345370370370371,intel,512.0,122917.18
excaliberpc,17.3,i7,16.0,4.473684210526316,nvidia,512.0,94218.0
msi,16.0,i7,16.0,4.345370370370371,nvidia,512.0,188518.0
msi,15.6,i7,16.0,4.345370370370371,nvidia,512.0,106518.0
msi,14.0,i5,16.0,4.345370370370371,nvidia,512.0,83935.2
msi,16.0,i9,16.0,4.345370370370371,nvidia,1024.0,182424.58
excaliberpc,15.6,i7,16.0,4.473684210526316,nvidia,1024.0,121278.0
msi,17.3,i7,16.0,4.345370370370371,nvidia,1024.0,245918.0
msi,15.6,i7,32.0,4.345370370370371,nvidia,1024.0,168018.0
msi,15.6,i7,32.0,4.345370370370371,nvidia,1024.0,151699.18
msi,15.6,i5,8.0,4.345370370370371,nvidia,512.0,86017.18000000001
msi,14.0,i5,16.0,4.345370370370371,intel,512.0,90118.0
msi,17.3,i9,32.0,4.345370370370371,nvidia,1024.0,245918.0
msi,14.0,i7,16.0,4.345370370370371,intel,512.0,98318.0
msi,16.0,i7,32.0,4.345370370370371,nvidia,1024.0,245918.0
msi,15.6,i7,16.0,4.345370370370371,nvidia,1024.0,117770.86
msi,15.6,i9,16.0,4.345370370370371,intel,1024.0,159818.0
excaliberpc,16.0,i7,16.0,4.473684210526316,intel,512.0,94218.0
excaliberpc,14.0,i7,16.0,4.473684210526316,intel,512.0,106518.0
excaliberpc,15.6,i7,32.0,4.473684210526316,nvidia,1024.0,172118.0
excaliberpc,14.0,i5,16.0,4.473684210526316,intel,512.0,98318.0
excaliberpc,17.3,i7,16.0,4.473684210526316,nvidia,512.0,106518.0
msi,17.3,i9,16.0,4.345370370370371,nvidia,1024.0,136038.0
msi,13.4,i7,16.0,4.345370370370371,intel,1024.0,89297.18000000001
excaliberpc,15.6,i7,16.0,4.473684210526316,nvidia,512.0,110618.0
excaliberpc,16.0,i9,32.0,4.473684210526316,nvidia,2048.0,221318.0
excaliberpc,15.6,i5,16.0,4.473684210526316,nvidia,512.0,90118.0
excaliberpc,15.6,ryzen9,16.0,4.473684210526316,nvidia,512.0,122999.18
msi,14.0,i3,8.0,4.345370370370371,intel,128.0,35916.0
excaliberpc,15.6,i7,16.0,4.473684210526316,nvidia,1024.0,143418.0
excaliberpc,16.0,ryzen9,32.0,4.473684210526316,nvidia,1024.0,286918.0
acer,15.6,i3,20.0,4.332795698924731,intel,512.0,38458.0
